usparql	Q1	Q2	Q3	Q4	type	Q1Ans	Q2Ans	Q2SAns	Q4Ans
no_usparql_13	Which television shows were created by John Cleese?	What television programs did John Cleese create?	Which television shows were created by John Cleese and first aired before the year 2000?	Which television shows were created by John Cleese and first aired on or after the year 2000?		Monty Python's Flying Circus	Monty Python's Flying Circus		A Fish Called Wanda (television adaptation)
no_usparql_17	Give me all current communist countries.	What countries have a communist government?	Give me all communist countries in Asia.	Give me all communist countries outside of Asia.		People's Republic of China	People's Republic of China		Republic of Cuba
no_usparql_26	Which politicians were married to a German person?	Which politicians had a spouse who was German?	Which politicians were married to a German woman?	Which politicians were married to a German man or non-binary person?					
no_usparql_29	Give me all soccer clubs in Spain that play in La Liga.	Can you list every soccer club located in Spain that play in La Liga?	Please tell me all the Spanish football clubs that play in La Liga and have won the Champions League.	Please tell me all the Spanish football clubs that play in La Liga and never won the Champions League.		Athletic Club de Bilbao	Athletic Club de Bilbao		Sevilla Fútbol Club
no_usparql_32	Which telecommunications organizations are located in Belgium?	Which telecommunications organizations are based in Belgium?	Which telecommunications organizations are located in Belgium and headquartered in Brussels?	Which telecommunications organizations are located in Belgium but not headquartered in Brussels?		Proximus Group	Proximus Group		Telenet
no_usparql_40	Which actors were born in Germany?	What actors have a German birthplace?	Which actors were born in Germany and are currently living there?	Which actors were born in Germany but are currently living outside of Germany?					
no_usparql_170	In which countries are the Himalayas located?	Which countries do the Himalayas span?	In which countries with a population of less than one million are the Himalayas located?	In which countries with a population of at least one million are the Himalayas located?		Nepal	Nepal		Nepal
no_usparql_207	On what video streaming services can I watch the Hunter x Hunter anime series?	Which platforms stream the Hunter x Hunter anime series?	On which video streaming services can I watch the Hunter x Hunter anime series with a subscription?	On which video streaming services can I watch the Hunter x Hunter anime series without subscription?		Netflix	Netflix		
no_usparql_214	Through which countries does the Danube flow?	Which countries does the Danube flow through?	Through which countries that use Central Europe Time does the Danube flow?	Through which countries that do not use Central Europe Time does the Danube flow?		Germany	Germany		Moldova
no_usparql_230	What are the professions of John Lennon’s sons?	In which professions are John Lennon’s sons involved?	What are the musical professions of John Lennon’s sons?	What are the non-musical professions of John Lennon’s sons?		musician	musician		actor
no_usparql_231	What movies are in the Star Wars series?	What are the movies in the Star Wars series?	What are the Star Wars series movies released before 2000?	What are the Star Wars series movies released on or after 2000?		Star Wars Episode I: The Phantom Menace	Star Wars Episode I: The Phantom Menace		Star Wars Episode Seven: The Force Awakens
no_usparql_237	What instruments did Louis Armstrong play?	Which instruments were played by Louis Armstrong?	What brass instruments did Louis Armstrong play?	What non-brass instruments did Louis Armstrong play?		Trumpet	Trumpet		Vocals
no_usparql_263	What notes make up a C major chord?	Which notes comprise a C major chord?	What root notes are in a C major chord?	What non-root notes make up a C major chord?		C	C		E
no_usparql_269	Who created the OA?	The OA is created by whom?	Which creator of The OA also played a cast role in it?	Which creator of The OA did not play a cast role in it?		Brit Marling	Brit Marling		Zal Batmanglij
no_usparql_270	What albums has Atif Aslam appeared in?	Which albums feature Atif Aslam?	What solo albums has Atif Aslam released?	What non-solo albums has Atif Aslam contributed to?					Tere Bin: Live in Concert
no_usparql_328	Which American presidents had fathers who were also American presidents?	Which U.S. presidents had fathers who were also U.S. presidents?	Which American presidents had fathers who were also American presidents for the same party?	Which American presidents had fathers who were also American presidents but for a different party?		John Quincy Adams	John Quincy Adams		John Quincy Adams
no_usparql_345	To which art movements is the painting “Les Demoiselles d'Avignon” assigned?	To which art movements does the painting “Les Demoiselles d'Avignon” belong?	To which Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?	To which non-Cubist art movements is the painting “Les Demoiselles d'Avignon” assigned?		Cubism	Cubism		Modernism
no_usparql_346	Which movies belong to the Cornetto trilogy?	What are the movies that make up the Cornetto trilogy?	Which movies in the Cornetto trilogy star Lucy Davis?	Which movies in the Cornetto trilogy do not star Lucy Davis?		Shaun of the Dead	Shaun of the Dead		Hot Fuzz
no_usparql_350	Which movies were directed by Thomas Vinterberg?	Which films were directed by Thomas Vinterberg?	Which movies directed by Thomas Vinterberg also starred Mads Mikkelsen?	Which movies directed by Thomas Vinterberg did not star Mads Mikkelsen?		The Celebration	The Celebration		The Celebration
no_usparql_358	Which teams participated in the 2020 UEFA Champions League Final ?	What teams took part in the 2020 UEFA Champions League Final?	Which team won the 2020 UEFA Champions League Final?	Which team lost the 2020 UEFA Champions League Final?		Paris Saint-Germain	Paris Saint-Germain		Paris Saint-Germain
no_usparql_362	Who are the actresses in Portrait of a Lady on Fire?	Which actresses appear in Portrait of a Lady on Fire?	Which actresses play a named character in Portrait of a Lady on Fire?	Which actresses in Portrait of a Lady on Fire do not play a named character?		Noémie Merlant	Noémie Merlant		Luisa Sobral
no_usparql_462	What countries does Germany share borders with?	Which countries border Germany?	What countries does Germany border that have German as an official language?	What countries does Germany border that do not have German as an official language?		Denmark	Denmark		Denmark
no_usparql_493	What movies did Taylor Lautner star in?	In which films did Taylor Lautner star?	What movies did Taylor Lautner star in that were released before 2010?	What movies did Taylor Lautner star in that were released on or after 2010?		Twilight	Twilight		Twilight
no_usparql_512	What countries does the Niger river flow through?	Through which countries does the Niger River flow?	Through what landlocked countries does the Niger River flow?	Through what coastal countries does the Niger River flow?		Guinea	Guinea		Benin
no_usparql_514	What games did Bungie make?	Which games were developed by Bungie?	What first-person shooter games did Bungie develop?	What games other than first-person shooters did Bungie develop?		Marathon	Marathon		Myth
