QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	1.0	0	1
1	1.0	0	1
2	1.0	0	1
3	0.8181818181818182	0	0
4	1.0	0	1
5	1.0	0	1
6	1.0	0	1
7	1.0	0	1
8	1.0	0	1
9	0.0	0	0
10	1.0	0	1
11	1.0	0	1
12	1.0	0	1
13	0.0	0	0
14	1.0	0	1
15	1.0	0	1
16	1.0	0	1
17	1.0	0	1
18	1.0	0	1
19	1.0	0	1
20	1.0	0	1
21	1.0	0	1
22	1.0	0	1
23	1.0	0	1
24	1.0	0	1
25	1.0	0	1
26	1.0	0	1
27	1.0	0	1
28	1.0	0	1
29	1.0	0	1
30	1.0	0	1
31	1.0	0	1
32	1.0	0	1
33	1.0	0	1
34	1.0	0	1
35	1.0	0	1
36	1.0	0	1
37	1.0	0	1
38	1.0	0	1
39	1.0	0	1
40	1.0	0	1
41	1.0	0	1
42	1.0	0	1
43	1.0	0	1
44	1.0	0	1
45	0.7931034482758621	0	0
46	1.0	0	1
47	1.0	0	1
48	1.0	0	1
49	0.9090909090909091	0	0
50	1.0	0	1
51	1.0	0	1
52	1.0	0	1
53	1.0	0	1
54	1.0	0	1
55	1.0	0	1
56	1.0	0	1
57	1.0	0	1
58	1.0	0	1
59	1.0	0	1
60	1.0	0	1
61	1.0	0	1
62	1.0	0	1
63	0.8666666666666667	0	0
64	0.625	0	0
65	1.0	0	1
66	1.0	0	1
67	1.0	0	1
68	1.0	0	1
69	1.0	0	1
70	1.0	0	1
71	1.0	0	1
72	0.42857142857142855	0	0
73	1.0	0	1
74	1.0	0	1
75	1.0	0	1
76	1.0	0	1
77	1.0	0	1
78	1.0	0	1
79	1.0	0	1
80	1.0	0	1
81	1.0	0	1
82	1.0	0	1
83	0.45	0	0
84	0.6	0	0
85	0.5263157894736842	0	0
86	1.0	0	1
87	1.0	0	1
88	1.0	0	1
89	1.0	0	1
90	1.0	0	1
91	1.0	0	1
92	1.0	0	1
93	0.8888888888888888	0	0
94	0.05555555555555555	0	0
95	1.0	0	1
96	1.0	0	1
97	1.0	0	1
98	1.0	0	1
99	1.0	0	1
100	1.0	0	1
101	1.0	0	1
102	1.0	0	1
103	1.0	0	1
104	1.0	0	1
105	1.0	0	1
106	1.0	0	1
107	1.0	0	1
108	0.8260869565217391	0	0
109	1.0	0	1
110	1.0	0	1
111	0.5882352941176471	0	0
112	1.0	0	1
113	1.0	0	1
114	0.0	1	1
115	1.0	0	1
116	1.0	0	1
117	0.7142857142857143	0	0
118	1.0	0	1
119	1.0	0	1
120	1.0	0	1
121	1.0	0	1
122	0.8181818181818182	0	0
123	1.0	0	1
124	1.0	0	1
125	0.0	1	1
126	1.0	0	1
127	1.0	0	1
128	1.0	0	1
129	1.0	0	1
130	0.12371134020618557	0	0
131	1.0	0	1
132	1.0	0	1
133	1.0	0	1
134	1.0	0	1
135	1.0	0	1
136	1.0	0	1
137	1.0	0	1
138	1.0	0	1
139	1.0	0	1
140	0.0	1	1
141	1.0	0	1
142	1.0	0	1
143	0.8333333333333334	0	0
144	1.0	0	1
145	0.16666666666666666	0	0
146	1.0	0	1
147	1.0	0	1
148	0.5714285714285714	0	0
149	0.46153846153846156	0	0
