i,j,val
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,1,1.0
1,2,1.0
1,2,1.0
1,2,0.9901
1,2,0.9993
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,1.0
1,2,0.9999
1,2,1.0
1,2,0.9842
1,2,1.0
1,2,1.0
1,2,0.1635
1,2,0.227
1,2,0.3136
1,2,0.8945
1,2,0.4415
1,3,0.0
1,3,0.0
1,3,0.0
1,3,0.0
1,3,0.0
1,3,0.7906
1,3,0.512
1,3,0.3073
1,3,0.8661
1,3,0.1981
1,3,1.0
1,3,1.0
1,3,0.9997
1,3,0.9981
1,3,0.9987
1,3,0.0
1,3,0.0
1,3,0.0
1,3,0.0
1,3,0.0
1,4,0.9989
1,4,1.0
1,4,0.653
1,4,0.962
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,1.0
1,4,0.0
1,4,0.0
1,4,0.0
1,4,0.0
1,4,0.0001
1,4,0.0
1,4,0.0
1,4,0.0
1,4,0.0001
1,4,0.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,1.0
1,5,0.2442
1,5,0.0005
1,5,0.0005
1,5,0.7288
1,5,0.5
1,5,0.0001
1,5,0.0
1,5,0.0008
1,5,0.14
1,5,0.0009
1,6,0.9998
1,6,0.0049
1,6,0.0
1,6,0.2662
1,6,0.9296
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,1.0
1,6,0.0
1,6,0.0003
1,6,0.3389
1,6,0.2285
1,6,0.0
1,6,0.0
1,6,0.0
1,6,0.012
1,6,0.0
1,7,0.976
1,7,1.0
1,7,0.4487
1,7,0.8554
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,1.0
1,7,0.9795
1,7,0.9998
1,7,0.8858
1,7,0.0
1,7,0.0
1,7,0.0
1,7,0.0
1,7,0.0
1,8,0.0
1,8,0.0
1,8,0.0
1,8,0.0
1,8,0.1108
1,8,0.4495
1,8,1.0
1,8,1.0
1,8,1.0
1,8,1.0
1,8,0.0
1,8,0.0
1,8,0.0
1,8,0.0
1,8,0.0
1,8,0.0
1,8,0.0
1,8,0.0
1,8,0.015
1,8,0.0164
1,9,1.0
1,9,1.0
1,9,0.9937
1,9,0.9989
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,1.0
1,9,0.0001
1,9,0.0016
1,9,0.5505
1,9,0.5937
1,9,0.0
1,9,0.0
1,9,0.0
1,9,0.0025
1,9,0.0
1,10,1.0
1,10,1.0
1,10,0.9961
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,1.0
1,10,0.9948
1,10,1.0
1,10,0.996
1,10,1.0
1,10,1.0
1,10,0.1405
1,10,0.9998
1,10,0.8115
1,10,0.9917
1,10,0.9765
1,11,0.077
1,11,0.9
1,11,0.0192
1,11,0.6985
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,1.0
1,11,0.0
1,11,0.001
1,11,0.3327
1,11,0.2135
1,11,0.0
1,11,0.0
1,11,0.0
1,11,0.0
1,11,0.0
1,12,1.0
1,12,1.0
1,12,0.9994
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,1.0
1,12,0.9902
1,12,1.0
1,12,1.0
1,12,0.2291
1,12,0.9703
1,12,0.2858
1,12,0.9552
1,12,0.9825
1,13,0.0
1,13,0.0
1,13,0.0
1,13,0.0
1,13,0.0
1,13,0.8358
1,13,1.0
1,13,0.9157
1,13,1.0
1,13,1.0
1,13,0.0006
1,13,0.0
1,13,0.0
1,13,0.2199
1,13,0.9998
