dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
qawiki,classification,deepseek-chat,0.98,0.8467,0.9,0.9333,0.56,0.4533,0.5133,0.5133,0.5133,0.9925,0.9582,0.4117,0.5403,0.6638,0.6377,0.6588,0.3667,0.3667,0.4,0.4333,0.5133,0.6534,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.8313,0.0
qawiki,classification,deepseek-reasoner,0.7267,0.8533,0.9133,0.8933,0.4533,0.3733,0.3867,0.4,0.5267,0.7919,0.902,0.5433,0.4137,0.55,0.5602,0.6708,0.3067,0.3267,0.48,0.5267,0.4378,0.5937,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
qawiki,classification,gemini-2.0-flash,0.8667,0.8867,1.0,0.9533,0.3533,0.2933,0.4667,0.4333,0.3733,0.9471,0.9502,0.5642,0.3982,0.6483,0.6061,0.5276,0.3067,0.3,1.0,0.5467,0.4244,0.594,0.87248322147651,0.0,0.9492456375838924,0.625,1.0,1.0,,,,,,,0.8851351351351351,1.0,0.949497972972973,1.0,0.0,0.0,0.0,0.0,1.0,0.0
qawiki,classification,gemini-2.5-flash,0.8933,0.9467,1.0,0.98,0.8267,0.7733,0.26,0.3267,0.2467,0.9404,0.9787,0.1678,0.7438,0.5754,0.5794,0.5702,0.12,0.12,1.0,0.2467,0.2778,0.575,0.950413223140496,0.6551724137931034,0.9550727272727272,0.8790793103448277,1.0,1.0,,,,,,,0.9652777777777778,0.5,0.9810659722222224,0.9222333333333332,0.0,0.0,0.0,0.0,0.7388,0.0
qawiki,classification,gemini-2.5-pro,0.9,0.72,1.0,0.8467,0.88,0.62,0.3,0.2333,0.28,0.9486,0.8374,0.11,0.7094,0.5939,0.499,0.5359,0.1067,0.0933,1.0,0.22,0.2711,0.5429,0.9848484848484848,0.2777777777777778,0.9848484848484848,0.6829444444444444,1.0,1.0,,,,,,,0.7571428571428571,0.2,0.8624642857142858,0.4869099999999999,0.0,0.0,0.0,0.0,0.01,0.0
qawiki,classification,gpt-4.1-2025-04-14,0.92,0.8867,0.4667,0.98,0.7933,0.68,0.2667,0.2667,0.2867,0.9874,0.9681,0.2003,0.7671,0.5831,0.569,0.5555,0.0933,0.0933,0.1533,0.2067,0.2734,0.5692,0.9432624113475178,0.5555555555555556,0.9937127659574468,0.8890333333333333,0.4662162162162162,0.5,,,,,,,0.8843537414965986,1.0,0.9674442176870748,1.0,0.0,0.0,0.0631,0.0,0.0025,0.0
qawiki,classification,gpt-4.1-mini-2025-04-14,0.9067,0.8733,0.4267,0.9533,0.6667,0.5467,0.3267,0.3733,0.3333,0.9635,0.9346,0.3269,0.6176,0.5754,0.5618,0.5564,0.2333,0.2333,0.2133,0.3533,0.3444,0.5645,0.9565217391304348,0.3333333333333333,0.9821123188405796,0.749025,0.4666666666666667,0.4166666666666667,,,,,,,0.8785714285714286,0.8,0.9374614285714286,0.8949999999999999,0.0,0.0,0.7159,0.0,0.0465,0.0
qawiki,classification,gpt-4.1-nano-2025-04-14,0.9667,0.54,0.68,0.54,0.3867,0.0,0.94,0.9533,0.9333,0.9667,0.6912,0.6075,0.0,0.94,0.9533,0.9333,0.98,0.9867,0.6867,0.54,0.9422,0.9422,0.9489795918367347,1.0,0.9489795918367347,1.0,0.6052631578947368,0.7053571428571429,,,,,,,,0.54,,0.691204,0.0,0.0,0.0002,0.0003,1.0,1.0
qawiki,classification,gpt-4o,0.98,0.94,1.0,0.9933,0.2867,0.2333,0.74,0.1067,0.14,0.2828,0.9686,0.707,0.2698,0.1983,0.1767,0.2078,0.7067,0.7133,1.0,0.7267,0.3289,0.1943,0.9931972789115646,0.3333333333333333,0.2834469387755102,0.25,,,,,,,,,0.9565217391304348,0.967032967032967,0.9891304347826086,0.9789373626373628,0.0,0.0,0.0,0.0,1.0,0.0
qawiki,classification,gpt-5,0.9133,0.9267,1.0,0.9733,0.52,0.4467,0.5267,0.6067,0.6067,0.9636,0.9644,0.48,0.4733,0.7286,0.7324,0.746,0.4133,0.4067,1.0,0.5333,0.58,0.7357,0.9473684210526316,0.6470588235294118,0.9752368421052632,0.8727058823529412,1.0,1.0,,,,,,,0.93006993006993,0.8571428571428571,0.9633384615384616,0.9864,0.0,0.0,0.0,0.0,0.9822,0.0
